priorite;score;nom;ville;code_postal;adresse;telephone;type_tel;email;site_web;siret;siren;note_ciblage;statut;prochaine_action;notes_appel;source
"Haute";"10";"SARL Rousseau Jérôme";"Nantes";"";"12 Allée de l'Île Gloriette";"06 30 35 94 51";"mobile";"contact@rousseaujeromedepannage.fr";"https://www.rousseaujeromedepannage.fr";"92132408300010";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"Adam'Serrurerie";"Paris";"75012";"13 Avenue du Bel Air, 75012, Paris";"06 95 40 37 65";"mobile";"";"https://laserrureparisienne.com/";"84829509300027";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"Serrurerie Tan";"Paris";"75010";"213 Rue du Faubourg Saint-Martin, 75010, Paris";"06 18 63 33 61";"mobile";"";"https://www.serrurerie-tan.fr/";"37979417500032";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"Le Serrurier de la Gare";"Paris";"";"";"06 22 12 31 41";"mobile";"serrurierdelagare@gmail.com";"https://leserrurierdelagare.fr/";"40482303100012";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"9";"JRM Serrurier";"Ivry-sur-Seine";"94200";"46 Avenue Jean Jaurès, 94200, Ivry-sur-Seine";"06 38 02 00 89";"mobile";"";"https://jrmserrurier.fr/";"79099215000058";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"Serrurerie Napoleon Nice";"Nice";"06000";"Les Petunias, 108 Avenue Sainte-Marguerite, 06000, Nice";"06 58 51 22 30";"mobile";"";"https://www.serrurerie-napoleon.com/";"38890141500058";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"La Clef D'or";"Dijon";"21000";"1 Av. De Dallas, 21000, Dijon";"06 36 73 75 12";"mobile";"";"https://serrurerie-laclefdor.fr/";"75399612300042";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"9";"Quick 06";"Antibes";"";"25 Boulevard Président Wilson";"06 11 51 80 66";"mobile";"";"http://www.quick06-fermetures.com";"34747705100051";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"A.S.G.";"Paris";"75017";"107 Rue des Dames, 75017, Paris";"06 75 99 78 95";"mobile";"";"";"49030004300018";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"La Clef de la Bastille";"Paris";"75012";"86 Avenue Ledru-Rollin, 75012, Paris";"06 37 38 50 68";"mobile";"";"";"84435330000016";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"France clef";"Nice";"";"15 Avenue Notre-Dame";"04 93 85 20 00";"fixe";"franceclef@wanadoo.fr";"https://www.franceclef.com/";"42032557300012";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Serrurerie Bacci";"Bordeaux";"33100";"11 Rue Galin, 33100, Bordeaux";"06 52 21 87 37";"mobile";"contact@serrurerie-bacci.com";"https://www.serrurerie-bacci.com";"";"";"mobile direct, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Coup de Clé";"Bordeaux";"";"14 Rue du Tondu";"05 56 46 25 04";"fixe";"contact@coupdecle.com";"https://www.coupdecle.fr/";"10183957900014";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
